# Curious visitor: someone approaches, gets a reading, leaves happy
# Format: time_offset | description
# Quoted descriptions are injected as user dialogue

0.0 | A person stops near the booth and reads the sign
3.0 | "A fortune teller? Is this for real?"
6.0 | The person takes a step closer and peers at the crystal ball
8.0 | "How much is a reading?"
11.0 | The person hesitates, then sits down at the table
13.0 | "Okay, sure. Why not."
16.0 | The person looks around nervously
18.0 | "So how does this work? Do I ask a question?"
22.0 | "I've been trying to decide whether to go back to school"
26.0 | The person leans forward, listening intently
28.0 | "How did you know that?"
32.0 | "That's... actually exactly what I needed to hear"
35.0 | The person puts $5 on the table and drops $2 in the tip jar
37.0 | "Thanks, Mara. That was worth it."
40.0 | The person stands up and walks back toward the carnival
